Provinsi,Tahun,NEET,P1,P2,Internet,RLS,HLS,HCLE
PAPUA,2022,20.07,6.72,2.46,2.71,7.31,11.14,0.75
ACEH,2023,29.02,2.76,0.78,2.71,9.89,14.38,0.42
SUMATERA UTARA,2023,20.08,1.26,0.32,3.03,10.07,13.48,0.24
SUMATERA BARAT,2023,23,0.82,0.18,3,9.59,14.11,0.24
RIAU,2023,23.26,1,0.24,3.15,9.6,13.3,0.24
JAMBI,2023,22.26,1.19,0.29,2.88,9.16,13.13,0.3
SUMATERA SELATAN,2023,23.37,1.72,0.39,2.88,8.9,12.63,0.35
BENGKULU,2023,21.77,2.14,0.52,2.75,9.35,13.74,0.35
LAMPUNG,2023,22.32,1.64,0.36,2.84,8.72,12.77,0.34
KEP. BANGKA BELITUNG,2023,21.3,0.63,0.13,2.92,8.66,12.31,0.28
KEP. RIAU,2023,15.04,0.82,0.18,3.38,10.52,13.05,0.13
DKI JAKARTA,2023,15.49,0.69,0.17,3.15,11.42,13.33,0.14
JAWA BARAT,2023,25.71,1.16,0.27,2.89,9.16,12.68,0.32
JAWA TENGAH,2023,20.99,1.75,0.41,2.78,8.44,12.85,0.36
DI YOGYAKARTA,2023,10.89,1.72,0.38,2.97,10.16,15.66,0.18
JAWA TIMUR,2023,19.53,1.63,0.37,2.67,8.53,13.38,0.35
BANTEN,2023,28.8,1.2,0.36,2.91,9.48,13.09,0.33
BALI,2023,10.03,0.55,0.1,3.03,9.74,13.58,0.15
NUSA TENGGARA BARAT,2023,20.45,2.38,0.59,2.58,8.39,13.97,0.41
NUSA TENGGARA TIMUR,2023,18.13,3.33,0.8,2.77,8.31,13.22,0.43
KALIMANTAN BARAT,2023,23.55,1.03,0.24,2.84,8.17,12.67,0.34
KALIMANTAN TENGAH,2023,23.68,0.66,0.14,2.82,9.07,12.76,0.3
KALIMANTAN SELATAN,2023,21.17,0.61,0.16,2.95,8.95,12.86,0.26
KALIMANTAN TIMUR,2023,18.66,0.77,0.14,3.16,10.17,14.02,0.17
KALIMANTAN UTARA,2023,18.16,0.64,0.11,3.31,9.53,13.2,0.17
SULAWESI UTARA,2023,30.73,1.09,0.26,2.67,9.94,12.96,0.36
SULAWESI TENGAH,2023,22.39,2.12,0.54,2.71,9.22,13.33,0.38
SULAWESI SELATAN,2023,22.24,1.57,0.41,2.98,9.12,13.54,0.3
SULAWESI TENGGARA,2023,21.97,1.96,0.48,3.02,9.62,13.7,0.3
GORONTALO,2023,24.87,2.92,0.74,2.88,8.48,13.16,0.42
SULAWESI BARAT,2023,21.81,1.8,0.42,2.84,8.48,12.88,0.36
MALUKU,2023,35.38,3.08,0.86,3,10.38,14.08,0.41
MALUKU UTARA,2023,29.71,1.08,0.23,2.73,9.61,13.74,0.34
PAPUA BARAT,2023,27.98,4.94,1.71,2.74,10.14,13.34,0.57
PAPUA,2023,25.06,6.25,2.15,2.58,7.34,11.15,0.76
ACEH,2024,28.56,2.29,0.59,2.71,9.95,14.39,0.38
SUMATERA UTARA,2024,19.78,1.16,0.28,3.03,10.18,13.49,0.23
SUMATERA BARAT,2024,21.31,0.74,0.15,3,9.72,14.3,0.22
RIAU,2024,21.79,0.92,0.22,3.15,9.69,13.42,0.22
JAMBI,2024,20.71,1.19,0.34,2.88,9.26,13.14,0.29
SUMATERA SELATAN,2024,23.36,1.67,0.39,2.88,8.98,12.64,0.34
